!Agilent Technologies,E4990A,MY54101026,A.02.12
!Date: Mon Aug 09 09:53:11 2021

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+4.27590000000e+001, +2.63910004743e+000, +8.71448803474e+001
+4.37550000000e+001, +2.69910107782e+000, +8.71717972538e+001
+4.47740000000e+001, +2.76049691694e+000, +8.72006787510e+001
+4.58170000000e+001, +2.82338388583e+000, +8.72270569720e+001
+4.68850000000e+001, +2.88605518595e+000, +8.72722709636e+001
+4.79770000000e+001, +2.95333827282e+000, +8.72797228869e+001
+4.90940000000e+001, +3.02059754663e+000, +8.72971801770e+001
+5.02380000000e+001, +3.08909815712e+000, +8.73080352409e+001
+5.14080000000e+001, +3.16006873950e+000, +8.73528004653e+001
+5.26050000000e+001, +3.23152568107e+000, +8.73849765801e+001
+5.38310000000e+001, +3.30535506317e+000, +8.74108043137e+001
+5.50850000000e+001, +3.38035911760e+000, +8.74358163657e+001
+5.63680000000e+001, +3.45711005064e+000, +8.74641871791e+001
+5.76810000000e+001, +3.53625676197e+000, +8.74844457556e+001
+5.90240000000e+001, +3.61682687548e+000, +8.75110528523e+001
+6.03990000000e+001, +3.69943035264e+000, +8.75329041295e+001
+6.18060000000e+001, +3.78372068146e+000, +8.75578489328e+001
+6.32460000000e+001, +3.86997656584e+000, +8.75815177816e+001
+6.47190000000e+001, +3.95842327678e+000, +8.76056746623e+001
+6.62260000000e+001, +4.04858886136e+000, +8.76280134869e+001
+6.77690000000e+001, +4.14103203073e+000, +8.76506289125e+001
+6.93470000000e+001, +4.23553176232e+000, +8.76731082279e+001
+7.09630000000e+001, +4.33229276978e+000, +8.76952569439e+001
+7.26160000000e+001, +4.43127384717e+000, +8.77170064675e+001
+7.43070000000e+001, +4.53245784939e+000, +8.77383229065e+001
+7.60380000000e+001, +4.63604647083e+000, +8.77593369838e+001
+7.78090000000e+001, +4.74199184819e+000, +8.77806042654e+001
+7.96210000000e+001, +4.85039692273e+000, +8.78006659573e+001
+8.14760000000e+001, +4.96133032589e+000, +8.78203779766e+001
+8.33740000000e+001, +5.07483458526e+000, +8.78402445218e+001
+8.53160000000e+001, +5.19086739979e+000, +8.78606243750e+001
+8.73030000000e+001, +5.30959655882e+000, +8.78790901698e+001
+8.93370000000e+001, +5.43116935372e+000, +8.78984625432e+001
+9.14180000000e+001, +5.55548915650e+000, +8.79166862697e+001
+9.35470000000e+001, +5.68260449118e+000, +8.79348530316e+001
+9.57260000000e+001, +5.81274510686e+000, +8.79523923806e+001
+9.79560000000e+001, +5.94584143598e+000, +8.79701315082e+001
+1.00237000000e+002, +6.08194176844e+000, +8.79871381049e+001
+1.02572000000e+002, +6.22141574445e+000, +8.80023987554e+001
+1.04961000000e+002, +6.36396105029e+000, +8.80179203150e+001
+1.07406000000e+002, +6.50976450289e+000, +8.80335806845e+001
+1.09908000000e+002, +6.65901173770e+000, +8.80494019275e+001
+1.12468000000e+002, +6.81161138074e+000, +8.80655935953e+001
+1.15088000000e+002, +6.96785546823e+000, +8.80816758817e+001
+1.17769000000e+002, +7.12756484493e+000, +8.80975067033e+001
+1.20512000000e+002, +7.29104888377e+000, +8.81139105514e+001
+1.23319000000e+002, +7.45827740880e+000, +8.81252155277e+001
+1.26191000000e+002, +7.62931354780e+000, +8.81373630615e+001
+1.29131000000e+002, +7.80440850025e+000, +8.81502414507e+001
+1.32139000000e+002, +7.98351923926e+000, +8.81630059995e+001
+1.35217000000e+002, +8.16666791537e+000, +8.81767229364e+001
+1.38366000000e+002, +8.35429038582e+000, +8.81880539155e+001
+1.41589000000e+002, +8.54578374514e+000, +8.82048565262e+001
+1.44887000000e+002, +8.74196316010e+000, +8.82512279540e+001
+1.48262000000e+002, +8.94104164808e+000, +8.82149842012e+001
+1.51716000000e+002, +9.14748320612e+000, +8.82489157388e+001
+1.55249000000e+002, +9.36005318454e+000, +8.82602414735e+001
+1.58866000000e+002, +9.57297723530e+000, +8.82595571310e+001
+1.62566000000e+002, +9.79313712834e+000, +8.82688247876e+001
+1.66353000000e+002, +1.00180535679e+001, +8.82785183455e+001
+1.70228000000e+002, +1.02482970736e+001, +8.82878508423e+001
+1.74193000000e+002, +1.04838488743e+001, +8.82979013632e+001
+1.78250000000e+002, +1.07246718839e+001, +8.83069291705e+001
+1.82402000000e+002, +1.09711898771e+001, +8.83164378754e+001
+1.86651000000e+002, +1.12233978957e+001, +8.83254131964e+001
+1.90999000000e+002, +1.14814758287e+001, +8.83338594265e+001
+1.95447000000e+002, +1.17453159983e+001, +8.83403945484e+001
+2.00000000000e+002, +1.20151610660e+001, +8.83455638228e+001
+2.04659000000e+002, +1.22915817458e+001, +8.83539229801e+001
+2.09426000000e+002, +1.25742155853e+001, +8.83601515913e+001
+2.14304000000e+002, +1.28632373262e+001, +8.83667054016e+001
+2.19296000000e+002, +1.31590432658e+001, +8.83729820932e+001
+2.24404000000e+002, +1.34616402438e+001, +8.83791176577e+001
+2.29631000000e+002, +1.37711582931e+001, +8.83845098965e+001
+2.34980000000e+002, +1.40879301371e+001, +8.83883815796e+001
+2.40453000000e+002, +1.44117769634e+001, +8.83921419933e+001
+2.46054000000e+002, +1.47431150109e+001, +8.83947387243e+001
+2.51785000000e+002, +1.50816580628e+001, +8.83989553670e+001
+2.57650000000e+002, +1.54289848591e+001, +8.84031702729e+001
+2.63651000000e+002, +1.57837522491e+001, +8.84064720886e+001
+2.69793000000e+002, +1.61466713390e+001, +8.84099263459e+001
+2.76077000000e+002, +1.65179112950e+001, +8.84127776692e+001
+2.82508000000e+002, +1.68977719730e+001, +8.84153184073e+001
+2.89088000000e+002, +1.72861181904e+001, +8.84163728115e+001
+2.95822000000e+002, +1.76835689640e+001, +8.84174523076e+001
+3.02712000000e+002, +1.80900332109e+001, +8.84184978100e+001
+3.09763000000e+002, +1.85059575085e+001, +8.84194510995e+001
+3.16979000000e+002, +1.89314185560e+001, +8.84207040146e+001
+3.24362000000e+002, +1.93663277239e+001, +8.84211101428e+001
+3.31917000000e+002, +1.98116000872e+001, +8.84215108021e+001
+3.39649000000e+002, +2.02664433123e+001, +8.84252637772e+001
+3.47560000000e+002, +2.07327759429e+001, +8.84215076082e+001
+3.55656000000e+002, +2.12083914945e+001, +8.84210146766e+001
+3.63940000000e+002, +2.16965803038e+001, +8.84198218797e+001
+3.72417000000e+002, +2.21950373343e+001, +8.84188004199e+001
+3.81092000000e+002, +2.27054479263e+001, +8.84173624438e+001
+3.89969000000e+002, +2.32266698112e+001, +8.84158860505e+001
+3.99052000000e+002, +2.37604270901e+001, +8.84136175773e+001
+4.08348000000e+002, +2.43062568298e+001, +8.84125410908e+001
+4.17859000000e+002, +2.48639182045e+001, +8.84099737549e+001
+4.27592000000e+002, +2.54352097193e+001, +8.84094479146e+001
+4.37552000000e+002, +2.60194455567e+001, +8.84062560344e+001
+4.47744000000e+002, +2.66166435186e+001, +8.84133077877e+001
+4.58174000000e+002, +2.72282315476e+001, +8.84052822519e+001
+4.68846000000e+002, +2.78521158951e+001, +8.83944116215e+001
+4.79767000000e+002, +2.84926871407e+001, +8.83913610182e+001
+4.90942000000e+002, +2.91466154699e+001, +8.83873498399e+001
+5.02377000000e+002, +2.98155801503e+001, +8.83833293217e+001
+5.14079000000e+002, +3.04998659437e+001, +8.83791073887e+001
+5.26054000000e+002, +3.11997819697e+001, +8.83749269768e+001
+5.38307000000e+002, +3.19155532871e+001, +8.83696698706e+001
+5.50846000000e+002, +3.26482211355e+001, +8.83668857117e+001
+5.63677000000e+002, +3.33969812661e+001, +8.83587364760e+001
+5.76806000000e+002, +3.41629337737e+001, +8.83535399506e+001
+5.90242000000e+002, +3.49467596656e+001, +8.83474833839e+001
+6.03990000000e+002, +3.57479913573e+001, +8.83419663152e+001
+6.18059000000e+002, +3.65678463119e+001, +8.83359394511e+001
+6.32456000000e+002, +3.74063044600e+001, +8.83300434877e+001
+6.47187000000e+002, +3.82629504081e+001, +8.83214182299e+001
+6.62262000000e+002, +3.91410430249e+001, +8.83175731981e+001
+6.77688000000e+002, +4.00379964954e+001, +8.83100445355e+001
+6.93474000000e+002, +4.09556956293e+001, +8.83027024475e+001
+7.09627000000e+002, +4.18940321064e+001, +8.82955594624e+001
+7.26156000000e+002, +4.28538146813e+001, +8.82879166115e+001
+7.43070000000e+002, +4.38354202917e+001, +8.82799150900e+001
+7.60379000000e+002, +4.48379007839e+001, +8.82725180977e+001
+7.78090000000e+002, +4.58661283853e+001, +8.82648505436e+001
+7.96214000000e+002, +4.69160302665e+001, +8.82567896873e+001
+8.14761000000e+002, +4.79900080684e+001, +8.82485792782e+001
+8.33739000000e+002, +4.90882023960e+001, +8.82398958817e+001
+8.53159000000e+002, +5.02106461174e+001, +8.82308402309e+001
+8.73032000000e+002, +5.13604304870e+001, +8.82217845925e+001
+8.93367000000e+002, +5.25351926430e+001, +8.82129422688e+001
+9.14176000000e+002, +5.37364776421e+001, +8.82035391906e+001
+9.35470000000e+002, +5.49651732525e+001, +8.81942348480e+001
+9.57260000000e+002, +5.62217367320e+001, +8.81847005064e+001
+9.79558000000e+002, +5.75067051576e+001, +8.81751662648e+001
+1.00237400000e+003, +5.88205529302e+001, +8.81651588080e+001
+1.02572300000e+003, +6.01655741213e+001, +8.81552839969e+001
+1.04961500000e+003, +6.15423520886e+001, +8.81389777178e+001
+1.07406400000e+003, +6.29456968588e+001, +8.81347776612e+001
+1.09908200000e+003, +6.43830130320e+001, +8.81243693236e+001
+1.12468300000e+003, +6.58523599737e+001, +8.81139057366e+001
+1.15088000000e+003, +6.73549222821e+001, +8.81057046293e+001
+1.17768700000e+003, +6.88912845303e+001, +8.80928921345e+001
+1.20511900000e+003, +7.04623119427e+001, +8.80821460641e+001
+1.23319000000e+003, +7.20684572750e+001, +8.80708888216e+001
+1.26191500000e+003, +7.37106948873e+001, +8.80596430306e+001
+1.29130800000e+003, +7.53906376617e+001, +8.80483198620e+001
+1.32138700000e+003, +7.71083171609e+001, +8.80369530185e+001
+1.35216600000e+003, +7.88654573147e+001, +8.80266779565e+001
+1.38366200000e+003, +8.06600522873e+001, +8.80145307990e+001
+1.41589200000e+003, +8.24961441933e+001, +8.80030159962e+001
+1.44887200000e+003, +8.43772406221e+001, +8.79929249804e+001
+1.48262000000e+003, +8.62926465649e+001, +8.79807588330e+001
+1.51715500000e+003, +8.82556969600e+001, +8.79692634754e+001
+1.55249400000e+003, +9.02622557246e+001, +8.79574566622e+001
+1.58865600000e+003, +9.23137116067e+001, +8.79467442134e+001
+1.62566100000e+003, +9.44108213380e+001, +8.79357552204e+001
+1.66352800000e+003, +9.65552841362e+001, +8.79244501877e+001
+1.70227600000e+003, +9.87478057894e+001, +8.79138373812e+001
+1.74192700000e+003, +1.00989778688e+002, +8.79029992556e+001
+1.78250200000e+003, +1.03280535562e+002, +8.78924660118e+001
+1.82402200000e+003, +1.05623198457e+002, +8.78820905743e+001
+1.86650900000e+003, +1.08018025699e+002, +8.78720132966e+001
+1.90998500000e+003, +1.10467347136e+002, +8.78616682778e+001
+1.95447400000e+003, +1.12969951290e+002, +8.78513463338e+001
+2.00000000000e+003, +1.15529499568e+002, +8.78418431378e+001
END
